trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
425	24	2	1.0	elu	120	40	0.001112	14.7	3.05	2.11	3737	4000	2.165	2.212	True	370.4	188.8	181.5
426	25	2	1.0	elu	120	40	0.001001	7.75	1.82	2.03	3808	4000	2.102	2.139	True	474.8	239.6	235.2
427	24	2	1.0	elu	120	40	0.0014	17.4	2.66	1.64	2809	4000	2.178	2.153	True	374.1	177	197.1
428	28	2	1.0	elu	120	40	0.001261	9.13	2.86	2.12	3358	4000	2.254	2.341	True	340.6	180	160.5
429	27	2	1.0	elu	120	40	0.0009063	6.87	4	1.77	3432	4000	2.437	2.607	True	467.4	227.5	239.9
430	27	2	1.0	elu	120	40	0.001149	7.64	1.71	1.94	3680	4000	2.21	2.41	True	709.1	337.7	371.4
431	27	2	1.0	elu	120	40	0.0009691	8.17	1.88	2.27	4067	4000	2.232	2.202	True	346.6	161.7	184.9
432	25	2	1.0	elu	120	40	0.001213	12.3	2.85	1.7	2420	4000	2.276	2.348	True	637.8	311.4	326.4
433	27	2	1.0	elu	120	40	0.0006814	16.6	2.02	2.01	2481	4000	2.39	2.459	True	346.7	155	191.7
434	26	2	1.0	elu	120	40	0.0006915	11.6	1.92	2.11	3386	4000	2.126	2.171	True	390.8	190.5	200.4
435	25	2	1.0	elu	120	40	0.001165	9.9	1.83	2.24	3867	4000	2.226	2.267	True	504.8	281.9	223
436	28	2	1.0	elu	120	40	0.0007845	9.02	4.14	1.74	4384	4000	2.385	2.4	True	666.5	344	322.4
437	23	2	1.0	elu	120	40	0.001423	14.4	3	1.57	2159	4000	2.442	2.527	True	4.556e+04	2.27e+04	2.286e+04
438	27	2	1.0	elu	120	40	0.00108	19.9	2.27	2.15	3326	4000	2.236	2.121	True	399.2	200.1	199.1
440	26	2	1.0	elu	120	40	0.0009615	8.86	2.66	1.97	3774	4000	2.502	2.537	True	1046	187	859
439	27	2	1.0	elu	120	40	0.00123	7.91	2.68	1.72	3341	4000	2.079	2.212	True	461.3	248.2	213.1
442	24	2	1.0	elu	120	40	0.001027	6.9	4.3	1.7	3502	4000	2.262	2.226	True	368.7	175.4	193.3
441	28	2	1.0	elu	120	40	0.0008998	10.4	3.16	1.73	4114	4000	2.401	2.421	True	728.9	280.3	448.5
443	24	2	1.0	elu	120	40	0.001137	18.8	3.49	0.998	3355	4000	2.529	2.482	True	567.7	301.6	266.1
445	28	2	1.0	elu	120	40	0.001105	8.48	3.09	1.6	2533	4000	2.358	2.303	True	448.4	247.1	201.3
444	29	2	1.0	elu	120	40	0.0007048	14.9	2.45	1.81	2281	4000	2.054	2.168	True	408.1	225.6	182.5
446	24	2	1.0	elu	120	40	0.0009974	18.9	2.7	1.77	3756	4000	2.174	2.257	True	328.7	172.2	156.5
447	25	2	1.0	elu	120	40	0.001079	8.02	3.53	1.82	2642	4000	2.409	2.452	True	383.2	179.1	204.1
449	26	2	1.0	elu	120	40	0.001177	7.89	2.22	1.85	3586	4000	2.451	2.43	True	415.2	206.2	209
448	26	2	1.0	elu	120	40	0.001034	17.6	1.93	2.54	2337	4000	2.344	2.397	True	404.3	193.2	211.1
450	26	2	1.0	elu	120	40	0.001019	19	3.1	2.24	4169	4000	2.099	2.17	True	459	250	209
451	29	2	1.0	elu	120	40	0.0008089	16.3	2.42	2.31	3275	4000	2.277	2.32	True	335.3	167.5	167.8
452	28	2	1.0	elu	120	40	0.000895	17.4	1.68	2.39	3955	4000	1.948	2.063	True	421.7	215.3	206.4
453	28	2	1.0	elu	120	40	0.0009408	14.8	1.8	2.15	3780	4000	2.203	2.295	True	342.8	164.7	178.1
456	22	2	1.0	elu	120	40	0.001003	19.4	2.91	1.99	3844	4000	2.311	2.274	True	371	172.3	198.8
454	27	2	1.0	elu	120	40	0.001171	16.3	1.81	2.93	2589	4000	2.025	2.166	True	340	163.7	176.3
455	27	2	1.0	elu	120	40	0.0007619	15.9	2.72	1.66	1786	4000	2.136	1.945	True	384.2	204.6	179.6
458	23	2	1.0	elu	120	80	0.001045	18.5	2.56	1.62	3846	4000	2.334	2.251	True	431	205.7	225.3
457	27	2	1.0	elu	120	40	0.000855	11.5	2.02	1.84	2487	4000	2.169	2.266	True	429.4	179.3	250
459	27	2	1.0	elu	120	40	0.0006602	15.8	2.05	2.4	2587	4000	2.087	2.207	True	430.7	217	213.7
461	23	2	1.0	elu	120	40	0.001155	16.4	3.07	1.09	2477	4000	2.446	2.452	True	924.7	521.9	402.8
460	24	2	1.0	elu	120	40	0.0009932	9.12	4.06	1.79	3951	4000	2.6	2.535	True	939	216.6	722.5
462	25	2	1.0	elu	120	40	0.001035	18	2.58	1.74	3563	4000	2.173	2.178	True	551.4	279.2	272.3
463	23	2	1.0	elu	120	40	0.0009514	19.7	2.97	1.16	2726	4000	2.113	2.192	True	707.8	299	408.8
466	26	2	1.0	elu	120	40	0.0008502	14.8	1.92	2.18	1693	4000	2.444	2.442	True	385.9	200.5	185.4
464	28	2	1.0	elu	120	40	0.001254	11	1.87	2.05	4258	4000	2.337	2.344	True	475.5	234.1	241.4
465	29	2	1.0	elu	120	40	0.0007337	15.2	2.55	2.11	2740	4000	2.326	2.313	True	345.9	176	169.8
467	25	2	1.0	gelu	120	40	0.001144	18.7	3.4	1.95	2503	4000	2.032	1.923	True	383.6	177.7	205.9
468	22	2	1.0	elu	120	40	0.001243	16.4	3.43	0.968	2923	4000	2.301	2.089	True	362.3	176.7	185.6
469	26	2	1.0	elu	120	40	0.001319	18.3	2.45	2.59	3603	4000	2.619	2.726	True	1760	502.1	1258
470	26	2	1.0	elu	120	40	0.001006	7.68	2.45	1.64	3521	4000	2.203	2.274	True	471.1	289.6	181.5
471	27	2	1.0	elu	120	40	0.001025	6.26	2.08	1.77	3425	4000	3.093	3.14	True	1651	252.1	1399
472	28	2	1.0	elu	120	40	0.0008445	16	1.62	2.95	3742	4000	2.091	2.207	True	314.3	153.6	160.6
473	28	2	1.0	elu	120	40	0.00131	16.9	2.15	3.05	2979	4000	2.074	2.039	True	316.9	156.5	160.4
474	26	2	1.0	elu	120	40	0.0009897	9.17	4.58	1.87	3669	4000	2.581	2.426	True	363.1	169.7	193.3
475	22	2	1.0	elu	120	40	0.0009121	17.4	2.75	1.67	3440	4000	2.266	2.457	True	1105	538	566.8
477	26	2	1.0	elu	120	40	0.0009015	16.5	2.81	2.42	2772	4000	2.106	2.299	True	399.4	197.7	201.8
476	27	2	1.0	elu	120	40	0.0009354	17.7	1.85	2.87	3191	4000	2.093	1.879	True	421.6	214.4	207.2
478	28	2	1.0	elu	120	40	0.001094	13.4	3.12	1.97	2886	4000	2.12	2.148	True	527.2	193.9	333.3
479	27	2	1.0	elu	120	40	0.001035	17.7	2.32	3.1	3659	4000	3.029	2.599	True	410.9	211.3	199.6
481	23	2	1.0	elu	120	40	0.001053	18.9	1.98	1.81	3659	4000	2.262	2.313	True	440.8	196.5	244.3
480	28	2	1.0	elu	120	40	0.0006727	13.1	2.45	2.14	1868	4000	2.127	2.239	True	446.7	183.6	263.1
482	27	2	1.0	elu	120	40	0.0007659	8.57	3.31	1.66	4485	4000	2.173	2.326	True	405	181.5	223.6
483	27	2	1.0	elu	120	40	0.0008024	16.3	1.48	3.42	3651	4000	2.142	2.191	True	447.7	237.8	210
484	30	2	1.0	elu	120	40	0.0008327	17.5	1.63	3.47	3766	4000	4.403	3.762	True	6767	4849	1918
485	27	2	1.0	elu	120	40	0.0007838	17.9	1.74	3.03	3627	4000	2.212	2.118	True	327.5	157.7	169.8
486	25	2	1.0	elu	120	40	0.001201	17.6	3.43	2.33	3861	4000	2.532	2.55	True	401.4	208	193.4
487	28	2	1.0	elu	120	40	0.001056	11	2.8	1.87	2922	4000	2.084	1.951	True	403.9	160.6	243.2
488	25	2	1.0	elu	120	40	0.001737	17.5	2.77	1.81	2475	4000	1.999	2.158	True	511.1	294.5	216.6
489	27	2	1.0	elu	120	40	0.001333	8.67	1.91	2.01	4085	4000	2.318	2.41	True	323.2	162.2	161
490	29	2	1.0	elu	120	40	0.0009014	12.3	1.91	2.65	3895	4000	2.094	2.284	True	362.4	190.4	172
491	25	2	1.0	elu	120	40	0.0009019	9.08	4.77	1.57	3362	4000	2.425	2.776	True	439.9	201	238.9
493	25	2	1.0	elu	120	40	0.0007284	15.6	1.78	3.19	3292	4000	2.194	1.943	True	345.2	185.9	159.3
492	29	2	1.0	elu	120	40	0.0008052	14.9	1.71	2.67	3925	4000	2.159	2.127	True	323.5	156.7	166.9
494	25	2	1.0	elu	120	40	0.0007585	11	1.9	1.96	2244	4000	2.266	2.258	True	370	188.4	181.6
495	26	2	1.0	elu	120	40	0.0007306	19.4	1.58	3.29	3523	4000	2.26	2.142	True	453.3	233.8	219.5
496	26	2	1.0	elu	120	40	0.0008294	9.85	3.56	1.36	4172	4000	2.489	2.648	True	761.3	435.7	325.7
497	27	2	1.0	elu	120	40	0.001267	9.05	1.68	2.16	4497	4000	2.258	2.373	True	477	187.6	289.5
498	25	2	1.0	elu	120	40	0.0008085	15	1.72	2.05	2456	4000	2.384	2.513	True	879.7	472.8	406.9
499	26	2	1.0	elu	120	40	0.001333	17	2.13	3.01	3071	4000	2.474	2.426	True	469.5	240.9	228.6
500	28	2	1.0	elu	120	40	0.0008915	16.5	1.59	3.39	3118	4000	2.153	2.351	True	398.6	214	184.6
501	28	2	1.0	elu	120	40	0.001019	20	2.08	1.99	4091	4000	2.165	2.212	True	375.1	169.8	205.3
502	26	2	1.0	elu	120	40	0.001198	17.3	2.47	1.98	3819	4000	2.411	2.345	True	373.3	180.2	193.1
503	27	2	1.0	elu	120	40	0.001406	7.65	2.01	1.77	4363	4000	2.088	2.138	True	327.1	163.9	163.1
504	27	2	1.0	elu	120	40	0.0007714	17.5	1.97	3.18	3581	4000	2.122	2.064	True	326.1	163.5	162.6
506	25	2	1.0	elu	120	40	0.0007601	13.8	2.24	2.21	2477	4000	2.174	2.388	True	511.5	227.2	284.3
505	29	2	1.0	elu	120	40	0.0007809	15.1	1.67	2.56	4344	4000	2.039	2.245	True	309.6	151.6	158
507	25	2	1.0	elu	120	40	0.0009079	8.17	4	1.51	4300	4000	2.254	2.128	True	304.8	155.1	149.7
509	27	2	1.0	elu	120	40	0.001258	10.7	2.36	2.27	3163	4000	2.488	2.488	True	417.2	212.3	204.9
508	29	2	1.0	elu	120	40	0.000716	15.6	1.84	2.66	3688	4000	2.108	2.096	True	430.4	205.1	225.3
510	27	2	1.0	elu	120	40	0.0007252	18.1	1.86	2.75	3994	4000	2.152	2.215	True	396.7	198.2	198.5
511	28	2	1.0	elu	120	40	0.001405	8.04	2.25	1.97	3989	4000	2.512	2.642	True	455.9	249.4	206.5
512	29	2	1.0	elu	120	40	0.001436	7.65	1.86	1.51	4262	4000	2.624	2.75	True	460.6	231.9	228.7
513	30	2	1.0	elu	120	40	0.0007251	12.4	1.6	2.95	4131	4000	2.181	2.203	True	366.3	187.7	178.6
514	28	2	1.0	elu	120	40	0.0007592	18.1	2.27	3.03	3089	4000	2.319	2.366	True	356.9	174.7	182.2
515	30	2	1.0	elu	120	40	0.001212	17.7	2.24	3.27	3223	4000	2.182	2.505	True	439.7	184.5	255.2
516	26	2	1.0	elu	120	40	0.001465	7.43	2.35	1.9	4407	4000	2.121	2.141	True	376	208.3	167.8
517	27	2	1.0	elu	120	40	0.0008036	19	2.06	3.55	3369	4000	2.043	1.851	True	337.3	165.5	171.8
518	27	2	1.0	elu	120	40	0.0008159	19.7	1.73	3.17	4024	4000	2.652	2.661	True	675.3	366	309.4
519	27	2	1.0	elu	120	40	0.0007513	14.9	1.87	3.02	4087	4000	2.057	2.155	True	324.1	158.8	165.3
520	26	2	1.0	elu	120	40	0.001436	7.01	1.87	1.85	4827	4000	2.403	2.271	True	514.4	263	251.4
522	27	2	1.0	elu	120	40	0.001532	9.25	2.12	1.84	4678	4000	2.787	2.678	True	459.1	247.3	211.8
521	28	2	1.0	elu	120	40	0.0009779	9.23	2.98	1.96	4144	4000	2.057	2.212	True	350.2	161	189.3
523	27	2	1.0	elu	120	40	0.001261	16	4.17	2.12	3153	4000	2.388	2.422	True	491	197.6	293.4
524	28	2	1.0	elu	120	40	0.001306	6.73	1.93	1.78	4034	4000	2.45	2.537	True	470.8	236.7	234.1
525	27	2	1.0	elu	120	40	0.00162	8.22	2.08	2.21	4173	4000	2.309	2.446	True	415.6	177.6	238
