trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae
221	2	1	0.5	gelu	40	32	0.0003532	18.8	7.51	0.949	8725	2000	16.62	9.185
225	2	1	0.5	gelu	40	32	0.0005013	11.6	11.1	0.636	7698	748	15.14	11.4
226	2	1	0.5	gelu	40	32	0.0003479	16	6.08	1.13	9356	926	7.801	9.145
228	4	1	0.5	gelu	40	32	0.0004778	14.5	12.5	0.954	9695	489	13.84	10.74
229	2	1	0.5	gelu	40	32	0.0003431	16.4	6	1.08	9123	521	7.833	9.113
227	3	1	0.5	gelu	40	32	0.0003007	19.5	7.77	1.25	8716	1363	15.25	11.49
230	3	1	0.5	gelu	40	32	0.0003165	18.7	6.87	1.06	8953	401	8.323	8.9
231	2	1	0.5	gelu	40	32	0.0003135	17.4	6.24	0.991	9441	1222	7.864	9.165
232	2	1	0.5	gelu	40	32	0.0003175	18.5	8.43	1.07	8539	966	7.847	9.131
233	4	1	0.5	gelu	40	32	0.0004526	14.6	9.37	1.33	8528	597	14.61	11.13
234	2	1	0.5	gelu	40	32	0.000304	19.1	6.67	1.35	8739	904	16.02	11.87
235	2	1	0.5	gelu	40	32	0.0003118	19.3	8.42	1.31	9267	557	8.091	9.436
237	2	1	0.5	gelu	40	32	0.0003447	16.4	6.62	1.15	8851	401	8.028	9.38
236	2	1	0.5	gelu	40	32	0.0003547	15	6.79	0.965	9568	1314	16.32	12.03
238	2	1	0.5	gelu	40	32	0.0003276	14.6	9.87	0.809	9316	831	7.849	9.133
239	3	1	0.5	gelu	40	32	0.0003425	16.3	10.1	1.3	9403	506	7.827	8.981
240	2	1	0.5	gelu	40	32	0.0003157	17.9	8.48	1.22	8212	927	15.5	11.59
242	2	1	0.5	gelu	40	32	0.0003537	17.5	5.84	1.17	9674	552	11.58	9.754
241	4	1	0.5	gelu	40	32	0.0003875	11.8	13.6	0.754	9644	1391	15.42	11.56
243	2	1	0.5	gelu	40	32	0.0003161	14.2	9.84	0.796	9365	451	9.414	9.073
245	3	1	0.5	gelu	40	32	0.0003483	16.7	9.4	1.39	9290	401	7.942	9.249
244	2	1	0.5	gelu	40	32	0.0003755	11.8	11.4	0.911	9315	503	9.102	9.004
246	2	1	0.5	gelu	40	32	0.0003679	14.5	8.18	0.743	9259	440	8.296	8.904
247	2	1	0.5	gelu	40	32	0.0003096	14.3	8.98	1.26	9472	653	7.945	8.91
248	2	1	0.5	gelu	40	32	0.0003303	17.8	10.9	1.19	8767	750	7.93	9.282
