trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	cl_tracking	cl_du
289846	22	2	0.5	gelu	120	40	0.001256	1.24	1.42	3.64	7265	4000	10.19	11.97	True	308.7	290.6	18.08
292144	24	2	0.5	gelu	120	40	0.001816	1.12	1.52	3.42	7594	4000	10.14	11.76	True	270	251.4	18.6
293508	22	2	0.5	gelu	120	40	0.001148	1.6	1.62	4.25	7575	4000	10.54	12.76	True	349.9	331.9	17.94
295596	23	2	0.5	gelu	120	40	0.001348	1.03	1.33	4.07	7871	4000	10.62	12.85	True	361.7	342.6	19.08
297812	27	2	0.5	gelu	120	40	0.001176	1.67	1.78	4.71	8029	4000	10.13	12.05	True	175.8	163.1	12.63
301484	24	2	0.5	gelu	120	40	0.0009964	1.44	1.7	4.72	7649	4000	10.4	12.42	True	242.2	223.1	19.12
303894	26	2	0.5	gelu	120	40	0.00156	1.69	1.4	4.73	7136	4000	10.41	12.5	True	914.7	876.9	37.74
305190	28	2	0.5	gelu	120	40	0.001154	1.74	1.7	4.41	8036	1500	10.25	11.66	True	313.9	295.4	18.6
307197	26	2	0.5	gelu	120	40	0.00142	1.88	1.84	4.98	7162	4000	10.3	12.46	True	331.4	314.8	16.56
309136	26	2	0.5	gelu	120	40	0.001091	2.06	1.31	4.71	6852	4000	10.22	12.25	True	344.9	326.5	18.49
311168	21	2	0.5	gelu	120	40	0.001792	1.02	1.3	3.53	6769	4000	10.2	12.16	True	237.5	221.2	16.28
312814	26	2	0.5	gelu	120	40	0.001578	1.49	1.36	3.94	7563	4000	10.34	12.08	True	240.6	224.1	16.52
314610	22	2	0.5	gelu	120	40	0.001297	1.16	1.12	3.31	4323	4000	10.38	12.35	True	329.8	308.9	20.92
316332	23	2	0.5	gelu	120	40	0.001149	1.48	1.9	3.88	6939	4000	10.21	12.08	True	198	184.6	13.32
318165	19	2	0.5	gelu	120	40	0.001025	1.41	1.2	3.85	7597	4000	10.29	12.22	True	444.1	428.2	15.88
318166	27	2	0.5	gelu	120	40	0.001157	1.58	1.53	4.96	7097	4000	10.16	12.23	True	6663	6644	19.39
318462	25	2	0.5	gelu	120	40	0.001674	1.71	1.67	4.87	8049	2000	10.16	11.75	True	199.9	186.9	12.97
320712	25	2	0.5	gelu	120	40	0.00102	1.56	1.27	4.59	7244	4000	10.48	12.79	True	375	356.3	18.64
322454	22	2	0.5	gelu	120	40	0.001693	1.08	1.57	4.02	7445	2000	10.44	12.72	True	372.6	352.9	19.66
322455	26	2	0.5	gelu	120	40	0.001351	1.73	1.62	4.98	8382	2000	10.11	12.14	True	189.2	174.9	14.32
322849	23	2	0.5	gelu	120	40	0.001604	1.68	1.45	4.63	8323	2000	10.32	12.62	True	4406	4282	123.7
322848	27	2	0.5	gelu	120	40	0.0009504	1.66	1.67	4.7	7159	1500	10.38	12.4	True	8978	8797	180.8
323050	26	2	0.5	gelu	120	40	0.001698	1.54	1.58	4.58	7730	2000	10.1	12.07	True	292.7	277.6	15.13
324875	27	2	0.5	gelu	120	40	0.001138	1.18	1.44	4.55	7491	2000	10.28	12.34	True	310.4	289.9	20.54
326583	26	2	0.5	gelu	120	40	0.001526	1.79	1.49	4.46	8759	2000	10.32	12.17	True	307.6	289.7	17.94
328329	22	2	0.5	gelu	120	40	0.001508	1.03	1.46	3.26	6441	2000	10.23	11.79	True	887.4	874.6	12.78
328328	27	2	0.5	gelu	120	40	0.00123	1.53	1.25	4.82	7481	2000	10.17	12.09	True	2245	2218	26.71
328353	26	2	0.5	gelu	120	40	0.00159	1.9	1.67	4.28	7540	2000	10.53	12.64	True	405.9	384.2	21.64
