trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
2588	30	2	1.0	elu	120	40	0.0009495	13	3.7	4.71	1540	4000	2.194	2.186	True	1e+06		
2589	27	2	0.5	elu	120	40	0.0009007	19.2	1.63	2.16	4032	4000	2.958	2.774	True	1e+06		
2595	29	2	1.0	elu	120	40	0.0008694	12	3.39	4.23	756	1000	3.716	3.192	True	1e+06		
2592	26	2	1.0	elu	120	40	0.001236	8.51	2.74	1.89	2929	3000	2.589	2.621	True	1e+06		
2591	30	2	1.0	elu	120	160	0.0008297	9.84	3.11	4.6	1089	4000	2.548	2.565	True	1e+06		
2597	28	2	1.0	elu	120	80	0.0006375	12	2.58	4.38	1922	1500	3.8	3.48	True	1e+06		
2598	26	2	1.0	elu	40	40	0.0008704	12.6	2.84	4.64	1039	4000	4.514	3.951	True	1e+06		
2596	30	2	1.0	elu	120	40	0.0007867	13.7	4.36	4.83	604	4000	3.678	3.289	True	1e+06		
2594	25	2	1.0	elu	120	40	0.0008117	9.64	2.36	4.01	3235	4000	2.632	2.443	True	1e+06		
2593	27	2	1.0	elu	120	40	0.0009681	13.3	3.19	2.33	2393	4000	2.357	2.517	True	1e+06		
2601	29	2	1.0	elu	120	40	0.0007757	5.97	3.95	4.01	1648	2000	3.118	3.222	True	1e+06		
2600	29	2	1.0	elu	120	40	0.0007865	7.68	3.67	4.17	856	3000	2.518	2.448	True	1e+06		
2602	29	2	1.0	relu	120	40	0.0007375	10.9	3.84	4.35	35	4000	2.707	2.945	True	1e+06		
2599	29	2	2.0	elu	120	40	0.0008427	13.1	1.14	2.22	3972	4000	2.358	2.451	True	1e+06		
2604	28	2	1.0	elu	120	80	0.0007706	11.9	3.82	3.49	1763	4000	2.463	2.653	True	1e+06		
2603	25	2	1.0	elu	120	40	0.0006687	8.9	2.96	4.14	2115	4000	2.226	2.354	True	1e+06		
2609	26	2	1.0	elu	20	40	0.0007963	18.4	1.82	2.33	4566	4000	7.778	6.656	True	1e+06		
2605	29	2	2.0	elu	120	40	0.001008	10	2.22	1.89	3921	4000	2.045	2.252	True	1e+06		
2606	24	2	1.0	elu	120	40	0.0006147	16.7	1.37	2.21	4182	4000	2.255	2.425	True	1e+06		
2610	30	2	1.0	elu	120	40	0.0006486	7.84	4.85	4.32	668	1500	3.4	3.014	True	1e+06		
2607	26	2	1.0	elu	120	40	0.000713	14.7	3.2	3.98	1435	4000	2.039	2.022	True	1e+06		
2608	31	2	1.0	elu	120	40	0.0006793	14.3	2.81	4.9	961	4000	2.32	2.058	True	1e+06		
2611	26	2	1.0	elu	120	40	0.0009155	19.4	1.29	2.81	2966	4000	2.13	2.146	True	1e+06		
2612	26	2	1.0	elu	120	40	0.0008649	8.87	3.07	4.67	1017	4000	2.353	2.524	True	1e+06		
